Name,Team,College,Salary,Height,Weight,Age,Position,College_for_count,Player_Count
Demarcus Cousins,Sacramento Kings,Kentucky,15851950.0,6-11,270,25,C,,
Enes Kanter,Oklahoma City Thunder,Kentucky,16407500.0,6-11,245,24,C,,
Willie Cauley-Stein,Sacramento Kings,Kentucky,3398280.0,7-0,240,22,C,,
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,5703600.0,7-0,244,20,C,,
Anthony Davis,New Orleans Pelicans,Kentucky,7070730.0,6-10,253,23,Pf,,
Trey Lyles,Utah Jazz,Kentucky,2239800.0,6-10,234,20,Pf,,
Nerlens Noel,Philadelphia 76ers,Kentucky,3457800.0,6-11,228,22,Pf,,
Patrick Patterson,Toronto Raptors,Kentucky,6268675.0,6-9,235,27,Pf,,
Julius Randle,Los Angeles Lakers,Kentucky,3132240.0,6-9,250,21,Pf,,
Terrence Jones,Houston Rockets,Kentucky,2489530.0,6-9,252,24,Pf,,
Eric Bledsoe,Phoenix Suns,Kentucky,13500000.0,6-1,190,26,Pg,,
Rajon Rondo,Sacramento Kings,Kentucky,9500000.0,6-1,186,30,Pg,,
Brandon Knight,Phoenix Suns,Kentucky,13500000.0,6-3,189,24,Pg,,
John Wall,Washington Wizards,Kentucky,15851950.0,6-4,195,25,Pg,,
Michael Kidd-Gilchrist,Charlotte Hornets,Kentucky,6331404.0,6-7,232,22,Sf,,
Tayshaun Prince,Minnesota Timberwolves,Kentucky,947276.0,6-9,212,36,Sf,,
Jodie Meeks,Detroit Pistons,Kentucky,6270000.0,6-4,210,28,Sg,,
Archie Goodwin,Phoenix Suns,Kentucky,1160160.0,6-5,200,21,Sg,,
James Young,Boston Celtics,Kentucky,1749840.0,6-6,215,20,Sg,,
Devin Booker,Phoenix Suns,Kentucky,2127840.0,6-6,206,19,Sg,,
Aaron Harrison,Charlotte Hornets,Kentucky,525093.0,6-6,210,21,Sg,,
C.J. Mccollum,Portland Trail Blazers,Lehigh,2525160.0,6-4,200,24,Sg,,
James Ennis,New Orleans Pelicans,Long Beach State,845059.0,6-7,210,25,Sf,,
Paul Millsap,Atlanta Hawks,Louisiana Tech,18671659.0,6-8,246,31,Pf,,
Elfrid Payton,Orlando Magic,Louisiana-Lafayette,2505720.0,6-4,185,22,Pg,,
Gorgui Dieng,Minnesota Timberwolves,Louisville,1474440.0,6-11,241,26,C,,
Montrezl Harrell,Houston Rockets,Louisville,1000000.0,6-8,240,22,Pf,,
Terry Rozier,Boston Celtics,Louisville,1824360.0,6-2,190,22,Pg,,
Jarell Martin,Memphis Grizzlies,Lsu,1230840.0,6-10,239,22,Pf,,
Jordan Mickey,Boston Celtics,Lsu,1170960.0,6-8,235,21,Pf,,
Brandon Bass,Los Angeles Lakers,Lsu,3000000.0,6-8,250,31,Pf,,
Johnny O'bryant Iii,Milwaukee Bucks,Lsu,845059.0,6-9,257,23,Pf,,
Marcus Thornton,Washington Wizards,Lsu,200600.0,6-4,205,29,Sf,,
Garrett Temple,Washington Wizards,Lsu,1100602.0,6-6,195,30,Sg,,
Steve Novak,Milwaukee Bucks,Marquette,295327.0,6-10,225,32,Sf,,
Jae Crowder,Boston Celtics,Marquette,6796117.0,6-6,235,25,Sf,,
Dwyane Wade,Miami Heat,Marquette,20000000.0,6-4,220,34,Sg,,
Wesley Matthews,Dallas Mavericks,Marquette,16407500.0,6-5,220,29,Sg,,
Jimmy Butler,Chicago Bulls,Marquette,16407500.0,6-7,220,26,Sg,,
Hassan Whiteside,Miami Heat,Marshall,981348.0,7-0,265,26,C,,
Alex Len,Phoenix Suns,Maryland,3807120.0,7-1,260,22,C,,
Steve Blake,Detroit Pistons,Maryland,2170465.0,6-3,172,36,Pg,,
Greivis Vasquez,Milwaukee Bucks,Maryland,6600000.0,6-6,217,29,Pg,,
Derrick Rose,Chicago Bulls,Memphis,20093064.0,6-3,190,27,Pg,,
Will Barton,Denver Nuggets,Memphis,3533333.0,6-6,175,25,Sf,,
Tyreke Evans,New Orleans Pelicans,Memphis,10734586.0,6-6,220,26,Sg,,
Shane Larkin,Brooklyn Nets,Miami (Fl),1500000.0,5-11,175,23,Pg,,
James Jones,Cleveland Cavaliers,Miami (Fl),947276.0,6-8,218,35,Sg,,
Mitch Mcgary,Oklahoma City Thunder,Michigan,1463040.0,6-10,255,24,Pf,,
Trey Burke,Utah Jazz,Michigan,2658240.0,6-1,191,23,Pg,,
Jamal Crawford,Los Angeles Clippers,Michigan,5675000.0,6-5,195,36,Sg,,
Nik Stauskas,Philadelphia 76ers,Michigan,2869440.0,6-6,205,22,Sg,,
Tim Hardaway Jr.,Atlanta Hawks,Michigan,1304520.0,6-6,205,24,Sg,,
Glenn Robinson Iii,Indiana Pacers,Michigan,1100000.0,6-7,222,22,Sg,,
Adreian Payne,Minnesota Timberwolves,Michigan State,1938840.0,6-10,237,25,Pf,,
Draymond Green,Golden State Warriors,Michigan State,14260870.0,6-7,230,26,Pf,,
Zach Randolph,Memphis Grizzlies,Michigan State,9638555.0,6-9,260,34,Pf,,
Branden Dawson,Los Angeles Clippers,Michigan State,525093.0,6-6,225,23,Sf,,
Gary Harris,Denver Nuggets,Michigan State,1584480.0,6-4,210,21,Sg,,
Alan Anderson,Washington Wizards,Michigan State,4000000.0,6-6,220,33,Sg,,
Kris Humphries,Atlanta Hawks,Minnesota,1000000.0,6-9,235,31,Pf,,
Phil Pressey,Phoenix Suns,Missouri,55722.0,5-11,175,25,Pg,,
Jordan Clarkson,Los Angeles Lakers,Missouri,845059.0,6-5,194,24,Pg,,
Demarre Carroll,Toronto Raptors,Missouri,13600000.0,6-8,212,29,Sf,,
Kenneth Faried,Denver Nuggets,Morehead State,11235955.0,6-8,228,26,Pf,,
Isaiah Canaan,Philadelphia 76ers,Murray State,947276.0,6-0,201,25,Pg,,
Cameron Payne,Oklahoma City Thunder,Murray State,2021520.0,6-3,185,21,Pg,,
Javale Mcgee,Dallas Mavericks,Nevada,1270964.0,7-0,270,28,C,,
Ramon Sessions,Washington Wizards,Nevada,2170465.0,6-3,190,30,Pg,,
Luke Babbitt,New Orleans Pelicans,Nevada,1100602.0,6-9,225,26,Sf,,
Cameron Bairstow,Chicago Bulls,New Mexico,845059.0,6-9,250,25,Pf,,
Tony Snell,Chicago Bulls,New Mexico,1535880.0,6-7,200,24,Sf,,
Kyle O'quinn,New York Knicks,Norfolk State,3750000.0,6-10,250,26,Pf,,
Ed Davis,Portland Trail Blazers,North Carolina,6980802.0,6-10,240,27,C,,
Tyler Zeller,Boston Celtics,North Carolina,2616975.0,7-0,253,26,C,,
Brandan Wright,Memphis Grizzlies,North Carolina,5464000.0,6-10,210,28,Pf,,
John Henson,Milwaukee Bucks,North Carolina,2943221.0,6-11,229,25,Pf,,
Tyler Hansbrough,Charlotte Hornets,North Carolina,947276.0,6-9,250,30,Pf,,
Marvin Williams,Charlotte Hornets,North Carolina,7000000.0,6-9,237,29,Pf,,
Ty Lawson,Indiana Pacers,North Carolina,211744.0,5-11,195,28,Pg,,
Raymond Felton,Dallas Mavericks,North Carolina,3950313.0,6-1,205,31,Pg,,
Kendall Marshall,Philadelphia 76ers,North Carolina,2144772.0,6-4,200,24,Pg,,
P.J. Hairston,Memphis Grizzlies,North Carolina,1201440.0,6-6,230,23,Sf,,
Reggie Bullock,Detroit Pistons,North Carolina,1252440.0,6-7,205,25,Sf,,
Harrison Barnes,Golden State Warriors,North Carolina,3873398.0,6-8,225,24,Sf,,
James Michael Mcadoo,Golden State Warriors,North Carolina,845059.0,6-9,240,23,Sf,,
Wayne Ellington,Brooklyn Nets,North Carolina,1500000.0,6-4,200,28,Sg,,
Vince Carter,Memphis Grizzlies,North Carolina,4088019.0,6-6,220,39,Sg,,
Danny Green,San Antonio Spurs,North Carolina,10000000.0,6-6,215,28,Sg,,
Jj Hickson,Washington Wizards,North Carolina State,273038.0,6-9,242,27,C,,
Lorenzo Brown,Detroit Pistons,North Carolina State,111444.0,6-5,189,25,Pg,,
T.J. Warren,Phoenix Suns,North Carolina State,2041080.0,6-8,230,22,Sf,,
J.J. Barea,Dallas Mavericks,Northeastern,4290000.0,6-0,185,31,Pg,,
Jerian Grant,New York Knicks,Notre Dame,1572360.0,6-4,195,23,Pg,,
Pat Connaughton,Portland Trail Blazers,Notre Dame,625093.0,6-5,206,23,Sg,,
Jared Sullinger,Boston Celtics,Ohio State,2569260.0,6-9,260,24,C,,
Kosta Koufos,Sacramento Kings,Ohio State,7700000.0,7-0,265,27,C,,
Mike Conley,Memphis Grizzlies,Ohio State,9588426.0,6-1,175,28,Pg,,
D'angelo Russell,Los Angeles Lakers,Ohio State,5103120.0,6-5,195,20,Pg,,
Evan Turner,Boston Celtics,Ohio State,3425510.0,6-7,220,27,Sg,,
Blake Griffin,Los Angeles Clippers,Oklahoma,18907726.0,6-10,251,27,Pf,,
Marcus Smart,Boston Celtics,Oklahoma State,3431040.0,6-4,220,22,Pg,,
Markel Brown,Brooklyn Nets,Oklahoma State,845059.0,6-3,190,24,Sg,,
Tony Allen,Memphis Grizzlies,Oklahoma State,5158539.0,6-4,213,34,Sg,,
James Anderson,Sacramento Kings,Oklahoma State,1015421.0,6-6,213,27,Sg,,
Kent Bazemore,Atlanta Hawks,Old Dominion,2000000.0,6-5,201,26,Sf,,
Aaron Brooks,Chicago Bulls,Oregon,2250000.0,6-0,161,31,Pg,,
Joe Young,Indiana Pacers,Oregon,1007026.0,6-2,180,23,Pg,,
Eric Moreland,Sacramento Kings,Oregon State,845059.0,6-10,238,24,Pf,,
Jared Cunningham,Milwaukee Bucks,Oregon State,947276.0,6-4,195,25,Sg,,
